NAME                       VERSION                                  TYPE   
adduser                    3.118ubuntu5                             deb     
apt                        2.4.9                                    deb     
autoconf                   2.71-2                                   deb     
automake                   1:1.16.5-1.3                             deb     
autotools-dev              20220109.1                               deb     
base-files                 12ubuntu4.3                              deb     
base-passwd                3.5.52build1                             deb     
bash                       5.1-6ubuntu1                             deb     
bash                       5.1.16                                   binary  
binutils                   2.38-4ubuntu2.3                          deb     
binutils-common            2.38-4ubuntu2.3                          deb     
binutils-x86-64-linux-gnu  2.38-4ubuntu2.3                          deb     
bsdutils                   1:2.37.2-4ubuntu3                        deb     
build-essential            12.9ubuntu3                              deb     
bzip2                      1.0.8-5build1                            deb     
ca-certificates            20230311ubuntu0.22.04.1                  deb     
cmake                      3.22.1-1ubuntu1.22.04.1                  deb     
cmake-data                 3.22.1-1ubuntu1.22.04.1                  deb     
coreutils                  8.32-4.1ubuntu1                          deb     
cpp                        4:11.2.0-1ubuntu1                        deb     
cpp-11                     11.4.0-1ubuntu1~22.04                    deb     
dash                       0.5.11+git20210903+057cd650a4ed-3build1  deb     
debconf                    1.5.79ubuntu1                            deb     
debianutils                5.5-1ubuntu2                             deb     
dh-elpa-helper             2.0.9ubuntu1                             deb     
diffutils                  1:3.8-0ubuntu2                           deb     
dirmngr                    2.2.27-3ubuntu2.1                        deb     
dpkg                       1.21.1ubuntu2.2                          deb     
dpkg-dev                   1.21.1ubuntu2.2                          deb     
e2fsprogs                  1.46.5-2ubuntu1.1                        deb     
emacsen-common             3.0.4                                    deb     
fakeroot                   1.28-1ubuntu1                            deb     
file                       1:5.41-3                                 deb     
findutils                  4.8.0-1ubuntu3                           deb     
fontconfig-config          2.13.1-4.2ubuntu5                        deb     
fonts-dejavu-core          2.37-2build1                             deb     
g++                        4:11.2.0-1ubuntu1                        deb     
g++-11                     11.4.0-1ubuntu1~22.04                    deb     
gcc                        4:11.2.0-1ubuntu1                        deb     
gcc-11                     11.4.0-1ubuntu1~22.04                    deb     
gcc-11-base                11.4.0-1ubuntu1~22.04                    deb     
gcc-12-base                12.3.0-1ubuntu1~22.04                    deb     
gfortran                   4:11.2.0-1ubuntu1                        deb     
gfortran-11                11.4.0-1ubuntu1~22.04                    deb     
git                        1:2.34.1-1ubuntu1.9                      deb     
git-man                    1:2.34.1-1ubuntu1.9                      deb     
gnupg                      2.2.27-3ubuntu2.1                        deb     
gnupg-l10n                 2.2.27-3ubuntu2.1                        deb     
gnupg-utils                2.2.27-3ubuntu2.1                        deb     
gpg                        2.2.27-3ubuntu2.1                        deb     
gpg-agent                  2.2.27-3ubuntu2.1                        deb     
gpg-wks-client             2.2.27-3ubuntu2.1                        deb     
gpg-wks-server             2.2.27-3ubuntu2.1                        deb     
gpgconf                    2.2.27-3ubuntu2.1                        deb     
gpgsm                      2.2.27-3ubuntu2.1                        deb     
gpgv                       2.2.27-3ubuntu2.1                        deb     
grep                       3.7-1build1                              deb     
gzip                       1.10-4ubuntu4.1                          deb     
hdf5-helpers               1.10.7+repack-4ubuntu2                   deb     
hostname                   3.23ubuntu2                              deb     
ibverbs-providers          39.0-1                                   deb     
icu-devtools               70.1-2                                   deb     
init-system-helpers        1.62                                     deb     
javascript-common          11+nmu1                                  deb     
less                       590-1ubuntu0.22.04.1                     deb     
libacl1                    2.3.1-1                                  deb     
libaec-dev                 1.0.6-1                                  deb     
libaec0                    1.0.6-1                                  deb     
libalgorithm-diff-perl     1.201-1                                  deb     
libalgorithm-diff-xs-perl  0.04-6build3                             deb     
libalgorithm-merge-perl    0.08-3                                   deb     
libapt-pkg6.0              2.4.9                                    deb     
libarchive13               3.6.0-1ubuntu1                           deb     
libasan6                   11.4.0-1ubuntu1~22.04                    deb     
libassuan0                 2.5.5-1build1                            deb     
libatomic1                 12.3.0-1ubuntu1~22.04                    deb     
libattr1                   1:2.5.1-1build1                          deb     
libaudit-common            1:3.0.7-1build1                          deb     
libaudit1                  1:3.0.7-1build1                          deb     
libbinutils                2.38-4ubuntu2.3                          deb     
libblkid1                  2.37.2-4ubuntu3                          deb     
libbrotli1                 1.0.9-2build6                            deb     
libbsd0                    0.11.5-1                                 deb     
libbz2-1.0                 1.0.8-5build1                            deb     
libc-bin                   2.35-0ubuntu3.1                          deb     
libc-dev-bin               2.35-0ubuntu3.1                          deb     
libc-devtools              2.35-0ubuntu3.1                          deb     
libc6                      2.35-0ubuntu3.1                          deb     
libc6-dev                  2.35-0ubuntu3.1                          deb     
libcaf-openmpi-3           2.9.2-3                                  deb     
libcap-ng0                 0.7.9-2.2build3                          deb     
libcap2                    1:2.44-1ubuntu0.22.04.1                  deb     
libcbor0.8                 0.8.0-2ubuntu1                           deb     
libcc1-0                   12.3.0-1ubuntu1~22.04                    deb     
libcoarrays-dev            2.9.2-3                                  deb     
libcoarrays-openmpi-dev    2.9.2-3                                  deb     
libcom-err2                1.46.5-2ubuntu1.1                        deb     
libcrypt-dev               1:4.4.27-1                               deb     
libcrypt1                  1:4.4.27-1                               deb     
libctf-nobfd0              2.38-4ubuntu2.3                          deb     
libctf0                    2.38-4ubuntu2.3                          deb     
libcurl3-gnutls            7.81.0-1ubuntu1.13                       deb     
libcurl4                   7.81.0-1ubuntu1.13                       deb     
libcurl4-openssl-dev       7.81.0-1ubuntu1.13                       deb     
libdb5.3                   5.3.28+dfsg1-0.8ubuntu3                  deb     
libdebconfclient0          0.261ubuntu1                             deb     
libdeflate0                1.10-2                                   deb     
libdpkg-perl               1.21.1ubuntu2.2                          deb     
libedit2                   3.1-20210910-1build1                     deb     
liberror-perl              0.17029-1                                deb     
libevent-2.1-7             2.1.12-stable-1build3                    deb     
libevent-core-2.1-7        2.1.12-stable-1build3                    deb     
libevent-dev               2.1.12-stable-1build3                    deb     
libevent-extra-2.1-7       2.1.12-stable-1build3                    deb     
libevent-openssl-2.1-7     2.1.12-stable-1build3                    deb     
libevent-pthreads-2.1-7    2.1.12-stable-1build3                    deb     
libexpat1                  2.4.7-1ubuntu0.2                         deb     
libext2fs2                 1.46.5-2ubuntu1.1                        deb     
libfabric1                 1.11.0-3                                 deb     
libfakeroot                1.28-1ubuntu1                            deb     
libffi8                    3.4.2-4                                  deb     
libfido2-1                 1.10.0-1                                 deb     
libfile-fcntllock-perl     0.22-3build7                             deb     
libfontconfig1             2.13.1-4.2ubuntu5                        deb     
libfreetype6               2.11.1+dfsg-1ubuntu0.2                   deb     
libgcc-11-dev              11.4.0-1ubuntu1~22.04                    deb     
libgcc-s1                  12.3.0-1ubuntu1~22.04                    deb     
libgcrypt20                1.9.4-3ubuntu3                           deb     
libgd3                     2.3.0-2ubuntu2                           deb     
libgdbm-compat4            1.23-1                                   deb     
libgdbm6                   1.23-1                                   deb     
libgfortran-11-dev         11.4.0-1ubuntu1~22.04                    deb     
libgfortran5               12.3.0-1ubuntu1~22.04                    deb     
libgmp10                   2:6.2.1+dfsg-3ubuntu1                    deb     
libgnutls30                3.7.3-4ubuntu1.2                         deb     
libgomp1                   12.3.0-1ubuntu1~22.04                    deb     
libgpg-error0              1.43-3                                   deb     
libgssapi-krb5-2           1.19.2-2ubuntu0.2                        deb     
libhdf5-103-1              1.10.7+repack-4ubuntu2                   deb     
libhdf5-cpp-103-1          1.10.7+repack-4ubuntu2                   deb     
libhdf5-dev                1.10.7+repack-4ubuntu2                   deb     
libhdf5-fortran-102        1.10.7+repack-4ubuntu2                   deb     
libhdf5-hl-100             1.10.7+repack-4ubuntu2                   deb     
libhdf5-hl-cpp-100         1.10.7+repack-4ubuntu2                   deb     
libhdf5-hl-fortran-100     1.10.7+repack-4ubuntu2                   deb     
libhogweed6                3.7.3-1build2                            deb     
libhwloc-dev               2.7.0-2ubuntu1                           deb     
libhwloc-plugins           2.7.0-2ubuntu1                           deb     
libhwloc15                 2.7.0-2ubuntu1                           deb     
libibverbs-dev             39.0-1                                   deb     
libibverbs1                39.0-1                                   deb     
libicu-dev                 70.1-2                                   deb     
libicu70                   70.1-2                                   deb     
libidn2-0                  2.3.2-2build1                            deb     
libisl23                   0.24-2build1                             deb     
